Date,Unit Price,Sales,Mean Temperature (f),Total Precipitation (in)
2023-12-01,7.51,2710.0803,28.371883,0.02870206
2023-11-01,7.76,2563.96792,32.104225,0.0095800515
2023-10-01,7.88,2394.17244,44.021843,0.06146812
2023-09-01,8.16,2256.57888,62.622852,0.15931757
2023-08-01,8.24,2388.02264,68.43337,0.114173226
2023-07-01,8.02,2344.78396,67.30813,0.060706124
2023-06-01,8.16,2280.12669,69.155975,0.135958
2023-05-01,7.67,2222.15907,59.649906,0.12674624
2023-04-01,7.59,2277.69713,32.416225,0.07139107
2023-03-01,7.76,2510.39681,14.335149,0.0496571
2023-02-01,8.1,2261.07483,15.744725,0.014482563
2023-01-01,8.22,2437.82993,14.3516,0.012319025
2022-12-01,7.91,2395.54527,6.4286966,0.079756156
2022-11-01,8.29,2248.63035,23.955849,0.05209974
2022-10-01,8.34,2101.91125,46.902447,0.03505207
2022-09-01,8.72,1999.23365,62.05785,0.02664042
2022-08-01,8.92,2066.89287,69.214096,0.09296419
2022-07-01,8.8,2049.9368,70.4706,0.0527051
2022-06-01,9.01,1920.74829,64.94185,0.09580052
2022-05-01,8.46,1919.37515,52.8941,0.1496063
2022-04-01,8.26,1930.57052,31.979473,0.18280838
2022-03-01,8.09,2266.16695,25.29906,0.021971041
2022-02-01,8.33,2158.45389,6.9733405,0.018138358
2022-01-01,8.2,2335.41201,7.3747854,0.04013208
2021-12-01,8.1,2213.7042,13.8738985,0.053340103
2021-11-01,8.72,1939.17437,33.489098,0.04304462
2021-10-01,8.65,1776.14965,49.665474,0.17564134
2021-09-01,9.14,1719.99336,64.787346,0.049737528
2021-08-01,8.97,1893.56047,70.39486,0.102616206
2021-07-01,9.19,1914.15964,74.792404,0.0091440175
2021-06-01,9.03,1813.24929,70.901474,0.049868766
2021-05-01,8.68,1737.45607,54.41007,0.033274066
2021-04-01,8.46,1804.71015,41.027973,0.02414698
2021-03-01,8.43,1942.76854,35.901516,0.006223012
2021-02-01,8.52,2031.94403,9.151823,0.018419573
2021-01-01,8.09,2076.23723,23.816599,0.020447038
2020-12-01,7.84,2043.44511,25.459343,0.012319025
2020-11-01,8.16,1887.57138,33.5146,0.004068242
2020-10-01,8.1,1840.97513,40.07382,0.01981204
2020-09-01,8.9,1673.74854,58.74685,0.00511811
2020-08-01,8.8,1790.92962,69.68043,0.06223012
2020-07-01,9.05,1716.49158,70.72257,0.119126245
2020-06-01,9.09,1541.52033,68.63522,0.04291339
2020-05-01,8.82,1536.52592,52.778454,0.03670307
2020-04-01,8.71,1730.69592,37.929604,0.055380575
2020-03-01,8.71,1960.05629,29.747526,0.019304037
2020-02-01,8.44,1966.0212,17.028711,0.011946782
2020-01-01,8.12,2131.47097,12.452648,0.024384046
2019-12-01,8.17,2077.97509,16.14422,0.04762509
2019-11-01,8.7,1888.80684,27.67685,0.048687663
2019-10-01,8.8,1769.77103,37.68422,0.13271526
2019-09-01,9.47,1603.45927,59.572727,0.20380576
2019-08-01,9.26,1697.65344,66.65104,0.07505714
2019-07-01,9.46,1714.61821,69.810715,0.11912624
2019-06-01,9.44,1568.60052,64.4446,0.14776903
2019-05-01,8.98,1625.83202,50.268375,0.069596134
2019-04-01,8.81,1645.7293,41.2976,0.06942257
2019-03-01,8.63,1915.8026,20.245388,0.032893065
2019-02-01,8.57,1957.06207,-2.702597,0.03937008
2019-01-01,8.37,2093.94461,7.6363177,0.02108204
